Member ID,0%,12.5%,25%,37.5%,50%,62.5%,75%,87.5%,100%,Load Combination
 56, -0.255, -0.255, -0.255, -0.255, -0.255, -0.255, -0.255, -0.255, -0.255, #1 - Weight,
 59, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, #1 - Weight,
 60, -0.163, -0.163, -0.163, -0.163, -0.163, -0.163, -0.163, -0.163, -0.163, #1 - Weight,
 61, -0.054, -0.054, -0.054, -0.054, -0.054, -0.054, -0.054, -0.054, -0.054, #1 - Weight,
 62, -0.041, -0.041, -0.041, -0.041, -0.041, -0.041, -0.041, -0.041, -0.041, #1 - Weight,
 65, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, #1 - Weight,
 66, 0.045, 0.045, 0.045, 0.045, 0.045, 0.045, 0.045, 0.045, 0.045, #1 - Weight,
 67, -0.062, -0.062, -0.062, -0.062, -0.062, -0.062, -0.062, -0.062, -0.062, #1 - Weight,
 68, 0.062, 0.062, 0.062, 0.062, 0.062, 0.062, 0.062, 0.062, 0.062, #1 - Weight,
 69, 0, 0, 0, 0, 0, 0.001, 0.001, 0, 0, #1 - Weight,
 70, -0.09, -0.09, -0.09, -0.09, -0.09, -0.09, -0.09, -0.09, -0.09, #1 - Weight,
 71, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, #1 - Weight,
 72, 0, 0, 0, 0, 0, -0.001, -0.001, 0, 0, #1 - Weight,
 75, -1.711, -1.711, -1.711, -1.711, -1.711, -1.711, -1.711, -1.711, -1.711, #1 - Weight,
 76, 1.713, 1.713, 1.713, 1.713, 1.713, 1.713, 1.713, 1.713, 1.713, #1 - Weight,
 77, -2.192, -2.192, -2.192, -2.192, -2.192, -2.192, -2.192, -2.192, -2.192, #1 - Weight,
 78, 2.168, 2.168, 2.168, 2.168, 2.168, 2.168, 2.168, 2.168, 2.168, #1 - Weight,

1,-0.991, -0.991, -0.991, -0.991, -0.991, -0.991, -0.991, -0.991, -0.991, #2 - 1.4D,
 2, -0.775, -0.775, -0.775, -0.775, -0.775, -0.775, -0.775, -0.775, -0.775, #2 - 1.4D,
 3, -0.814, -0.814, -0.814, -0.814, -0.814, -0.814, -0.814, -0.814, -0.814, #2 - 1.4D,
 4, -0.992, -0.992, -0.992, -0.992, -0.992, -0.992, -0.992, -0.992, -0.992, #2 - 1.4D,
 5, 0.947, 0.947, 0.947, 0.947, 0.947, 0.947, 0.947, 0.947, 0.947, #2 - 1.4D,
 6, 0.855, 0.855, 0.855, 0.855, 0.855, 0.855, 0.855, 0.855, 0.855, #2 - 1.4D,
 7, 0.821, 0.821, 0.821, 0.821, 0.821, 0.821, 0.821, 0.821, 0.821, #2 - 1.4D,
 8, 0.948, 0.948, 0.948, 0.948, 0.948, 0.948, 0.948, 0.948, 0.948, #2 - 1.4D,
 9, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, #2 - 1.4D,
 10, -0.003, -0.003, -0.003, -0.003, -0.003, -0.003, -0.003, -0.003, -0.003, #2 - 1.4D,
 11, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, #2 - 1.4D,
 12, 0.058, 0.058, 0.058, 0.058, 0.058, 0.058, 0.058, 0.058, 0.058, #2 - 1.4D,
 13, -0.003, -0.003, -0.003, -0.003, -0.003, -0.003, -0.003, -0.003, -0.003, #2 - 1.4D,
 14, -0.12, -0.12, -0.12, -0.12, -0.12, -0.12, -0.12, -0.12, -0.12, #2 - 1.4D,
 15, -0.063, -0.063, -0.063, -0.063, -0.063, -0.063, -0.063, -0.063, -0.063, #2 - 1.4D,
 16, 0.063, 0.063, 0.063, 0.063, 0.063, 0.063, 0.063, 0.063, 0.063, #2 - 1.4D,
 17, -0.227, -0.227, -0.227, -0.227, -0.227, -0.227, -0.227, -0.227, -0.227, #2 - 1.4D,
 18, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, #2 - 1.4D,
 19, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, #2 - 1.4D,
 20, 4.491, 4.491, 4.491, 4.491, 4.491, 4.491, 4.491, 4.491, 4.491, #2 - 1.4D,
 21, 4.793, 4.793, 4.793, 4.793, 4.793, 4.793, 4.793, 4.793, 4.793, #2 - 1.4D,
