Member ID,0%,12.5%,25%,37.5%,50%,62.5%,75%,87.5%,100%,Load Combination
 56, 0.277, 0.277, 0.277, 0.277, 0.277, 0.277, 0.277, 0.277, 0.277, #1 - Weight,
 59, 0.625, 0.625, 0.625, 0.625, 0.625, 0.625, 0.625, 0.625, 0.625, #1 - Weight,
 60, -0.556, -0.556, -0.556, -0.556, -0.556, -0.556, -0.556, -0.556, -0.556, #1 - Weight,
 61, 0.577, 0.577, 0.577, 0.577, 0.577, 0.577, 0.577, 0.577, 0.577, #1 - Weight,
 62, -0.674, -0.674, -0.674, -0.674, -0.674, -0.674, -0.674, -0.674, -0.674, #1 - Weight,
 65, 0.928, 0.928, 0.928, 0.928, 0.928, 0.928, 0.928, 0.928, 0.928, #1 - Weight,
 66, -1.07, -1.07, -1.07, -1.07, -1.07, -1.07, -1.07, -1.07, -1.07, #1 - Weight,
 67, -0.011, -0.011, -0.011, -0.011, -0.011, -0.011, -0.011, -0.011, -0.011, #1 - Weight,
 68, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, #1 - Weight,
 69, 0.402, 0.402, 0.509, 0.509, 0.158, -0.222, -0.222, -0.254, -0.254, #1 - Weight,
 70, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, #1 - Weight,
 71, -0.046, -0.046, -0.046, -0.046, -0.046, -0.046, -0.046, -0.046, -0.046, #1 - Weight,
 72, -0.392, -0.392, -0.49, -0.49, -0.138, 0.238, 0.238, 0.261, 0.261, #1 - Weight,
 75, -0.431, -0.431, -0.431, -0.431, -0.431, -0.431, -0.431, -0.431, -0.431, #1 - Weight,
 76, 0.434, 0.434, 0.434, 0.434, 0.434, 0.434, 0.434, 0.434, 0.434, #1 - Weight,
 77, 0.417, 0.417, 0.417, 0.417, 0.417, 0.417, 0.417, 0.417, 0.417, #1 - Weight,
 78, -0.427, -0.427, -0.427, -0.427, -0.427, -0.427, -0.427, -0.427, -0.427, #1 - Weight,

1,0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, #2 - 1.4D,
 2, -0.066, -0.066, -0.066, -0.066, -0.066, -0.066, -0.066, -0.066, -0.066, #2 - 1.4D,
 3, 0.066, 0.066, 0.066, 0.066, 0.066, 0.066, 0.066, 0.066, 0.066, #2 - 1.4D,
 4, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, #2 - 1.4D,
 5, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, #2 - 1.4D,
 6, 0.306, 0.306, 0.306, 0.306, 0.306, 0.306, 0.306, 0.306, 0.306, #2 - 1.4D,
 7, -0.307, -0.307, -0.307, -0.307, -0.307, -0.307, -0.307, -0.307, -0.307, #2 - 1.4D,
 8, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, #2 - 1.4D,
 9, -0.816, -0.816, -0.816, -0.816, -0.816, -0.816, -0.816, -0.816, -0.816, #2 - 1.4D,
 10, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, #2 - 1.4D,
 11, -0.587, -0.587, -0.587, -0.587, -0.587, -0.587, -0.587, -0.587, -0.587, #2 - 1.4D,
 12, 0.936, 0.936, 0.936, 0.936, 0.936, 0.936, 0.936, 0.936, 0.936, #2 - 1.4D,
 13, 0.027, 0.027, 0.027, 0.027, 0.027, 0.027, 0.027, 0.027, 0.027, #2 - 1.4D,
 14, 0.53, 0.53, 0.53, 0.53, 0.53, 0.53, 0.53, 0.53, 0.53, #2 - 1.4D,
 15, -0.039, -0.039, -0.039, -0.039, -0.039, -0.039, -0.039, -0.039, -0.039, #2 - 1.4D,
 16, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, #2 - 1.4D,
 17, -0.233, -0.233, -0.233, -0.233, -0.233, -0.233, -0.233, -0.233, -0.233, #2 - 1.4D,
 18, 0.222, 0.222, 0.222, 0.222, 0.222, 0.222, 0.222, 0.222, 0.222, #2 - 1.4D,
 19, -0.526, -0.526, -0.526, -0.526, -0.526, -0.526, -0.526, -0.526, -0.526, #2 - 1.4D,
 20, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, #2 - 1.4D,
 21, 0.053, 0.053, 0.053, 0.053, 0.053, 0.053, 0.053, 0.053, 0.053, #2 - 1.4D,
 22, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, #2 - 1.4D,
 23, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, #2 - 1.4D,
 24, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, #2 - 1.4D,
 25, -0.272, -0.272, -0.272, -0.272, -0.272, -0.272, -0.272, -0.272, -0.272, #2 - 1.4D,
