Member ID,0%,12.5%,25%,37.5%,50%,62.5%,75%,87.5%,100%,Load Combination
 59, 0.005, 0.01, 0.016, 0.021, 0.027, 0.033, 0.038, 0.044, 0.05, #1 - Weight,
 60, 0.136, 0.074, 0.013, -0.048, -0.109, -0.17, -0.231, -0.292, -0.353, #1 - Weight,
 61, 0.056, 0.043, 0.029, 0.016, 0.002, -0.011, -0.025, -0.038, -0.052, #1 - Weight,
 62, 0.027, 0.016, 0.006, -0.004, -0.014, -0.024, -0.035, -0.045, -0.055, #1 - Weight,
 65, -0.11, -0.085, -0.06, -0.035, -0.01, 0.016, 0.041, 0.066, 0.091, #1 - Weight,
 66, -0.019, -0.008, 0.003, 0.015, 0.026, 0.037, 0.048, 0.06, 0.071, #1 - Weight,
 67, 0.082, 0.059, 0.036, 0.013, -0.011, -0.034, -0.057, -0.08, -0.104, #1 - Weight,
 68, -0.082, -0.059, -0.036, -0.013, 0.011, 0.034, 0.057, 0.08, 0.103, #1 - Weight,
 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, #1 - Weight,
 70, 0.114, 0.08, 0.046, 0.012, -0.021, -0.055, -0.089, -0.123, -0.156, #1 - Weight,
 71, -0.114, -0.08, -0.047, -0.013, 0.021, 0.055, 0.089, 0.122, 0.156, #1 - Weight,
 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, #1 - Weight,
 75, 0.432, 0.304, 0.176, 0.047, -0.081, -0.209, -0.337, -0.466, -0.594, #1 - Weight,
 76, -0.434, -0.306, -0.177, -0.049, 0.08, 0.208, 0.337, 0.465, 0.593, #1 - Weight,
 77, 0.677, 0.513, 0.349, 0.184, 0.02, -0.145, -0.309, -0.473, -0.638, #1 - Weight,
 78, -0.662, -0.499, -0.337, -0.174, -0.012, 0.151, 0.314, 0.476, 0.639, #1 - Weight,

1,0.739, 0.479, 0.219, -0.041, -0.301, -0.561, -0.821, -1.081, -1.341, #2 - 1.4D,
 2, 0.416, 0.213, 0.01, -0.194, -0.397, -0.6, -0.804, -1.007, -1.211, #2 - 1.4D,
 3, 0.45, 0.236, 0.023, -0.191, -0.404, -0.618, -0.832, -1.045, -1.259, #2 - 1.4D,
 4, 0.736, 0.476, 0.216, -0.045, -0.305, -0.565, -0.826, -1.086, -1.346, #2 - 1.4D,
 5, -0.57, -0.321, -0.072, 0.176, 0.425, 0.674, 0.922, 1.171, 1.42, #2 - 1.4D,
 6, -0.677, -0.453, -0.228, -0.003, 0.221, 0.446, 0.67, 0.895, 1.119, #2 - 1.4D,
 7, -0.647, -0.431, -0.216, 0, 0.215, 0.431, 0.646, 0.862, 1.077, #2 - 1.4D,
 8, -0.574, -0.325, -0.076, 0.173, 0.422, 0.67, 0.919, 1.168, 1.417, #2 - 1.4D,
 9, -0.073, -0.054, -0.035, -0.016, 0.003, 0.022, 0.041, 0.06, 0.079, #2 - 1.4D,
 10, 0.038, 0.037, 0.036, 0.035, 0.034, 0.032, 0.031, 0.03, 0.029, #2 - 1.4D,
 11, 0.001, -0.003, -0.008, -0.013, -0.017, -0.022, -0.027, -0.032, -0.036, #2 - 1.4D,
 12, -0.078, -0.063, -0.049, -0.035, -0.02, -0.006, 0.009, 0.023, 0.038, #2 - 1.4D,
 13, -0.207, -0.208, -0.209, -0.21, -0.211, -0.212, -0.212, -0.213, -0.214, #2 - 1.4D,
 14, 0.253, 0.208, 0.163, 0.118, 0.073, 0.028, -0.017, -0.062, -0.107, #2 - 1.4D,
 15, 0.094, 0.071, 0.047, 0.024, 0, -0.023, -0.046, -0.07, -0.093, #2 - 1.4D,
 16, -0.095, -0.071, -0.048, -0.024, 0, 0.023, 0.047, 0.07, 0.094, #2 - 1.4D,
 17, 0.15, 0.082, 0.014, -0.054, -0.122, -0.19, -0.258, -0.326, -0.394, #2 - 1.4D,
 18, -0.154, -0.085, -0.016, 0.053, 0.122, 0.191, 0.26, 0.329, 0.398, #2 - 1.4D,
 19, -0.107, -0.062, -0.017, 0.028, 0.073, 0.118, 0.163, 0.208, 0.253, #2 - 1.4D,
 20, -4.193, -2.396, -0.6, 1.197, 2.994, 4.79, 6.587, 8.383, 10.18, #2 - 1.4D,
 21, -4.321, -2.404, -0.487, 1.431, 3.348, 5.265, 7.183, 9.1, 11.017, #2 - 1.4D,
 22, -4.265, -2.367, -0.468, 1.43, 3.328, 5.226, 7.125, 9.023, 10.921, #2 - 1.4D,
 23, -4.196, -2.398, -0.601, 1.196, 2.994, 4.791, 6.588, 8.386, 10.183, #2 - 1.4D,
 24, 4.605, 2.737, 0.87, -0.997, -2.865, -4.732, -6.6, -8.467, -10.335, #2 - 1.4D,
 25, 4.838, 3.009, 1.18, -0.649, -2.478, -4.307, -6.136, -7.965, -9.794, #2 - 1.4D,
 26, 4.884, 3.039, 1.194, -0.651, -2.496, -4.341, -6.186, -8.031, -9.876, #2 - 1.4D,
 27, 4.604, 2.736, 0.868, -1, -2.867, -4.735, -6.603, -8.471, -10.339, #2 - 1.4D,
 28, 0, 0.001, 0.002, 0.002, 0.003, 0.004, 0.005, 0.005, 0.006, #2 - 1.4D,
 29, -0.041, -0.018, 0.006, 0.002, -0.001, 0.003, 0.006, -0.019, , #2 - 1.4D,
 30, 0.006, 0.006, 0.005, 0.004, 0.003, 0.003, 0.002, 0.001, 0, #2 - 1.4D,
 31, 0.023, 0.014, 0.005, -0.004, -0.013, -0.023, -0.032, -0.041, -0.05, #2 - 1.4D,
 32, 0, 0, 0.001, 0, 0, 0, 0.001, 0, , #2 - 1.4D,
 33, -0.051, -0.041, -0.032, -0.023, -0.013, -0.004, 0.005, 0.014, 0.024, #2 - 1.4D,
 34, 0.001, 0.006, 0.006, 0.001, -0.001, 0, 0.008, 0.004, -0.007, #2 - 1.4D,
 35, -0.005, -0.007, -0.006, -0.001, 0.001, 0, -0.008, -0.003, 0.012, #2 - 1.4D,
 36, -0.028, -0.015, -0.002, 0.012, 0.025, 0.038, 0.052, 0.065, 0.079, #2 - 1.4D,
 37, 0.029, 0.016, 0.002, -0.011, -0.025, -0.038, -0.052, -0.065, -0.079, #2 - 1.4D,
 38, -0.037, -0.032, -0.027, -0.022, -0.017, -0.012, -0.007, -0.002, 0.003, #2 - 1.4D,
 39, -10.581, -8.764, -6.948, -5.131, -3.315, -1.498, 0.318, 2.134, 3.951, #2 - 1.4D,
 40, -11.754, -9.721, -7.688, -5.656, -3.623, -1.59, 0.443, 2.476, 4.509, #2 - 1.4D,
 41, -11.676, -9.664, -7.651, -5.638, -3.625, -1.613, 0.4, 2.413, 4.425, #2 - 1.4D,
 42, -10.591, -8.773, -6.955, -5.137, -3.32, -1.502, 0.316, 2.133, 3.951, #2 - 1.4D,
 43, 10.775, 8.881, 6.987, 5.093, 3.198, 1.304, -0.59, -2.484, -4.378, #2 - 1.4D,
 44, 10.371, 8.434, 6.497, 4.561, 2.624, 0.688, -1.249, -3.185, -5.122, #2 - 1.4D,
 45, 10.438, 8.483, 6.527, 4.572, 2.617, 0.662, -1.294, -3.249, -5.204, #2 - 1.4D,
 46, 10.772, 8.878, 6.984, 5.091, 3.197, 1.303, -0.591, -2.485, -4.379, #2 - 1.4D,
 47, 0.129, 0.094, 0.058, 0.023, -0.012, -0.048, -0.083, -0.118, -0.154, #2 - 1.4D,
 48, -0.092, -0.084, -0.077, -0.07, -0.062, -0.055, -0.047, -0.04, -0.033, #2 - 1.4D,
 49, 0.08, 0.071, 0.062, 0.052, 0.043, 0.033, 0.024, 0.015, 0.005, #2 - 1.4D,
 50, 0.102, 0.086, 0.069, 0.053, 0.036, 0.02, 0.004, -0.013, -0.029, #2 - 1.4D,
 51, 0.301, 0.309, 0.316, 0.324, 0.332, 0.339, 0.347, 0.355, 0.362, #2 - 1.4D,
 52, -0.493, -0.407, -0.321, -0.236, -0.15, -0.065, 0.021, 0.107, 0.192, #2 - 1.4D,
 53, -0.143, -0.108, -0.073, -0.038, -0.003, 0.032, 0.067, 0.102, 0.137, #2 - 1.4D,
 54, 0.146, 0.11, 0.075, 0.039, 0.003, -0.032, -0.068, -0.104, -0.139, #2 - 1.4D,
 55, -0.192, -0.095, 0.003, 0.1, 0.197, 0.294, 0.392, 0.489, 0.586, #2 - 1.4D,
 56, 0.232, 0.125, 0.018, -0.09, -0.197, -0.304, -0.411, -0.518, -0.626, #2 - 1.4D,
 59, 0.006, 0.014, 0.022, 0.03, 0.038, 0.046, 0.054, 0.062, 0.069, #2 - 1.4D,
 60, 0.19, 0.104, 0.019, -0.067, -0.152, -0.238, -0.323, -0.409, -0.494, #2 - 1.4D,
 61, 0.079, 0.06, 0.041, 0.022, 0.003, -0.016, -0.035, -0.053, -0.072, #2 - 1.4D,
 62, 0.037, 0.023, 0.009, -0.006, -0.02, -0.034, -0.048, -0.063, -0.077, #2 - 1.4D,
 65, -0.154, -0.119, -0.084, -0.048, -0.013, 0.022, 0.057, 0.092, 0.127, #2 - 1.4D,
 66, -0.027, -0.011, 0.005, 0.02, 0.036, 0.052, 0.068, 0.083, 0.099, #2 - 1.4D,
 67, 0.115, 0.083, 0.05, 0.018, -0.015, -0.047, -0.08, -0.112, -0.145, #2 - 1.4D,
 68, -0.115, -0.082, -0.05, -0.018, 0.015, 0.047, 0.08, 0.112, 0.144, #2 - 1.4D,
 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, #2 - 1.4D,
 70, 0.159, 0.112, 0.065, 0.017, -0.03, -0.077, -0.124, -0.172, -0.219, #2 - 1.4D,
 71, -0.16, -0.113, -0.065, -0.018, 0.029, 0.077, 0.124, 0.171, 0.219, #2 - 1.4D,
 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, #2 - 1.4D,
 75, 0.605, 0.426, 0.246, 0.066, -0.113, -0.293, -0.472, -0.652, -0.832, #2 - 1.4D,
 76, -0.608, -0.428, -0.248, -0.069, 0.111, 0.291, 0.471, 0.651, 0.831, #2 - 1.4D,
 77, 0.948, 0.718, 0.488, 0.258, 0.028, -0.202, -0.433, -0.663, -0.893, #2 - 1.4D,
 78, -0.927, -0.699, -0.471, -0.244, -0.016, 0.212, 0.439, 0.667, 0.895, #2 - 1.4D,

1,0.744, 0.49, 0.236, -0.019, -0.273, -0.528, -0.782, -1.036, -1.291, #3 - 1.2D + 1.6L + 0.5Lr,
 2, 0.399, 0.208, 0.016, -0.175, -0.367, -0.558, -0.75, -0.941, -1.133, #3 - 1.2D + 1.6L + 0.5Lr,
 3, 0.428, 0.228, 0.027, -0.173, -0.373, -0.574, -0.774, -0.974, -1.174, #3 - 1.2D + 1.6L + 0.5Lr,
 4, 0.742, 0.487, 0.233, -0.022, -0.277, -0.531, -0.786, -1.04, -1.295, #3 - 1.2D + 1.6L + 0.5Lr,
 5, -0.517, -0.282, -0.047, 0.188, 0.423, 0.658, 0.893, 1.128, 1.363, #3 - 1.2D + 1.6L + 0.5Lr,
 6, -0.653, -0.434, -0.215, 0.004, 0.224, 0.443, 0.662, 0.881, 1.1, #3 - 1.2D + 1.6L + 0.5Lr,
 7, -0.627, -0.415, -0.204, 0.007, 0.219, 0.43, 0.641, 0.852, 1.064, #3 - 1.2D + 1.6L + 0.5Lr,
 8, -0.521, -0.286, -0.05, 0.185, 0.42, 0.655, 0.89, 1.126, 1.361, #3 - 1.2D + 1.6L + 0.5Lr,
 9, -0.071, -0.053, -0.034, -0.016, 0.003, 0.021, 0.039, 0.058, 0.076, #3 - 1.2D + 1.6L + 0.5Lr,
 10, 0.036, 0.035, 0.034, 0.033, 0.032, 0.031, 0.03, 0.029, 0.028, #3 - 1.2D + 1.6L + 0.5Lr,
