Node ID,Support ID,X Force (kN),Y Force (kN),Z Force (kN),X Moment (kN-m),Y Moment (kN-m),Z Moment (kN-m)Load Combination
 15, 8, 13.73852, 42.05632, 36.46645, 83.65872, 3.43412, 24.13535, #5 - 1.420 D + 0.500 Lp + 1.250 E2,
 17, 9, 2.07878, 36.91899, 12.73441, 0, 0, 0, #5 - 1.420 D + 0.500 Lp + 1.250 E2,

1,1,-46.26792, -31.98529, -3.08287, -6.83526, -1.8713, -92.53483, #6 - 1.420 D + 0.500 Lp - 1.250 E1,
 3, 2, -9.16383, -38.33121, -1.18915, 0, 0, 0, #6 - 1.420 D + 0.500 Lp - 1.250 E1,
 5, 3, -9.35647, -38.38888, -1.58828, 0, 0, 0, #6 - 1.420 D + 0.500 Lp - 1.250 E1,
 7, 4, -57.93736, 11.54274, -0.257, -0.49598, -1.89677, -102.76037, #6 - 1.420 D + 0.500 Lp - 1.250 E1,
 9, 5, -56.24773, 11.19187, -0.20342, -0.4605, -1.88784, -99.87388, #6 - 1.420 D + 0.500 Lp - 1.250 E1,
 11, 6, -47.68188, -31.70477, -3.84563, -7.33892, -1.85944, -95.21762, #6 - 1.420 D + 0.500 Lp - 1.250 E1,
 13, 7, -51.32081, -31.43047, -3.07101, -6.82769, -1.87109, -102.54405, #6 - 1.420 D + 0.500 Lp - 1.250 E1,
 15, 8, -62.36796, 11.61615, -0.20257, -0.45995, -1.88737, -110.66931, #6 - 1.420 D + 0.500 Lp - 1.250 E1,
 17, 9, -10.11828, -38.49725, -1.18273, 0, 0, 0, #6 - 1.420 D + 0.500 Lp - 1.250 E1,

1,1,-10.89082, -14.47521, -32.6474, -76.73255, -1.76445, -21.47562, #7 - 1.420 D + 0.500 Lp - 1.250 E2,
 3, 2, -1.993, -20.39933, -12.826, 0, 0, 0, #7 - 1.420 D + 0.500 Lp - 1.250 E2,
 5, 3, -0.26174, 7.21514, -18.51219, 0, 0, 0, #7 - 1.420 D + 0.500 Lp - 1.250 E2,
 7, 4, -1.58865, 12.13454, -46.42951, -90.23338, -3.34064, -2.83429, #7 - 1.420 D + 0.500 Lp - 1.250 E2,
 9, 5, -13.17479, -17.72257, -36.6193, -83.75719, -3.4327, -23.1622, #7 - 1.420 D + 0.500 Lp - 1.250 E2,
 11, 6, -1.30729, 14.63205, -41.81778, -82.7857, -1.76088, -2.62681, #7 - 1.420 D + 0.500 Lp - 1.250 E2,
 13, 7, -11.34904, -14.39123, -32.50461, -76.64129, -1.76448, -22.40039, #7 - 1.420 D + 0.500 Lp - 1.250 E2,
 15, 8, -13.73312, -17.0206, -36.46653, -83.65949, -3.43409, -24.16045, #7 - 1.420 D + 0.500 Lp - 1.250 E2,
