Member ID,0%,12.5%,25%,37.5%,50%,62.5%,75%,87.5%,100%,Load Combination
 56, 4.326, 3.72, 3.007, 2.185, 1.256, 0.272, -0.658, -1.479, -2.193, #1 - Weight,
 59, -0.087, -0.818, -1.634, -2.535, -3.52, -4.505, -5.405, -6.221, -6.953, #1 - Weight,
 60, -0.203, -0.935, -1.751, -2.651, -3.636, -4.621, -5.521, -6.337, -7.069, #1 - Weight,
 61, -2.818, -3.278, -3.737, -4.197, -4.657, -5.116, -5.576, -6.036, -6.496, #1 - Weight,
 62, -2.805, -3.265, -3.724, -4.184, -4.644, -5.103, -5.563, -6.023, -6.482, #1 - Weight,
 65, -3.973, -4.451, -4.967, -5.52, -6.111, -6.702, -7.256, -7.772, -8.25, #1 - Weight,
 66, -3.853, -4.332, -4.848, -5.401, -5.992, -6.583, -7.137, -7.653, -8.131, #1 - Weight,
 67, 2.745, 2.055, 1.366, 0.676, -0.013, -0.703, -1.392, -2.082, -2.771, #1 - Weight,
 68, 2.74, 2.05, 1.36, 0.671, -0.019, -0.708, -1.398, -2.087, -2.777, #1 - Weight,
 69, 3.631, -0.187, 3.354, -0.465, 0.001, 0.477, -3.341, 0.206, -3.612, #1 - Weight,
 70, 4.011, 3.237, 2.295, 1.188, -0.022, -1.232, -2.338, -3.281, -4.055, #1 - Weight,
 71, 4.017, 3.243, 2.301, 1.194, -0.016, -1.226, -2.332, -3.275, -4.049, #1 - Weight,
 72, 3.632, -0.187, 3.354, -0.465, 0.001, 0.477, -3.341, 0.207, -3.612, #1 - Weight,
 75, -3.569, -3.707, -3.845, -3.983, -4.121, -4.259, -4.397, -4.535, -4.673, #1 - Weight,
 76, -3.635, -3.773, -3.911, -4.049, -4.187, -4.325, -4.463, -4.601, -4.739, #1 - Weight,
 77, -4.911, -5.074, -5.234, -5.39, -5.543, -5.693, -5.839, -5.982, -6.122, #1 - Weight,
 78, -4.826, -4.989, -5.149, -5.305, -5.458, -5.608, -5.754, -5.897, -6.037, #1 - Weight,

1,1.628, 1.628, 1.628, 1.628, 1.628, 1.628, 1.628, 1.628, 1.628, #2 - 1.4D,
 2, -0.58, -0.58, -0.58, -0.58, -0.58, -0.58, -0.58, -0.58, -0.58, #2 - 1.4D,
 3, 0.535, 0.535, 0.535, 0.535, 0.535, 0.535, 0.535, 0.535, 0.535, #2 - 1.4D,
 4, -1.612, -1.612, -1.612, -1.612, -1.612, -1.612, -1.612, -1.612, -1.612, #2 - 1.4D,
 5, 1.155, 1.155, 1.155, 1.155, 1.155, 1.155, 1.155, 1.155, 1.155, #2 - 1.4D,
 6, -1.659, -1.659, -1.659, -1.659, -1.659, -1.659, -1.659, -1.659, -1.659, #2 - 1.4D,
 7, 1.673, 1.673, 1.673, 1.673, 1.673, 1.673, 1.673, 1.673, 1.673, #2 - 1.4D,
 8, -1.141, -1.141, -1.141, -1.141, -1.141, -1.141, -1.141, -1.141, -1.141, #2 - 1.4D,
 9, 9.065, 8.422, 7.778, 7.135, 6.491, 5.847, 5.204, 4.56, 3.917, #2 - 1.4D,
 10, 3.196, 2.424, 1.652, 0.879, 0.107, -0.665, -1.438, -2.21, -2.982, #2 - 1.4D,
 11, 7.613, 6.648, 5.682, 4.717, 3.752, 2.786, 1.821, 0.855, -0.11, #2 - 1.4D,
