c_h	Mn	Pn	phiMn	phiPn	c_b	Mnb	Pnb	phiMnb	phiPnb	phiVh	phiVb
999999999	0	1698.8246020457552	0	1104.235991329741	999999999	0	1698.8246020457552	0	1104.235991329741
446.7692307692308	37.30369004774569	1698.8246020457552	24.247398531034698	1104.235991329741	446.7692307692308	40.694934597540744	1698.8246020457552	26.451707488401485	1104.235991329741	304.7101825685706	304.7101825685706
442.3015384615385	37.12151575374843	1698.8246020457552	24.128985239936483	1104.235991329741	442.3015384615385	40.45203553887774	1698.8246020457552	26.29382310027053	1104.235991329741	304.7101825685706	304.7101825685706
437.83384615384614	36.93562361701654	1698.8246020457552	24.00815535106075	1104.235991329741	437.83384615384614	40.204179356568545	1698.8246020457552	26.132716581769554	1104.235991329741	304.7101825685706	304.7101825685706
433.36615384615385	36.74589865272316	1698.8246020457552	23.884834124270057	1104.235991329741	433.36615384615385	39.95121273751071	1698.8246020457552	25.968288279381962	1104.235991329741	304.7101825685706	304.7101825685706
428.89846153846156	36.552221085007005	1698.8246020457552	23.758943705254556	1104.235991329741	428.89846153846156	39.69297598055583	1698.8246020457552	25.80043438736129	1104.235991329741	304.7101825685706	304.7101825685706
424.4307692307692	36.354466094812615	1698.8246020457552	23.6304029616282	1104.235991329741	424.4307692307692	39.42930266029665	1698.8246020457552	25.629046729192822	1104.235991329741	304.7101825685706	304.7101825685706
419.9630769230769	36.15250355163537	1698.8246020457552	23.49912730856299	1104.235991329741	419.9630769230769	39.16001926939365	1698.8246020457552	25.454012525105874	1104.235991329741	304.7101825685706	304.7101825685706
415.49538461538464	35.946197727959685	1698.8246020457552	23.365028523173795	1104.235991329741	415.49538461538464	38.88494483782607	1698.8246020457552	25.275214144586947	1104.235991329741	304.7101825685706	304.7101825685706
411.0276923076923	35.73540699507366	1698.8246020457552	23.22801454679788	1104.235991329741	411.0276923076923	38.60389052731137	1698.8246020457552	25.092528842752394	1104.235991329741	304.7101825685706	304.7101825685706
406.56	35.5199834988275	1698.8246020457552	23.087989274237877	1104.235991329741	406.56	38.31665919898316	1698.8246020457552	24.905828479339053	1104.235991329741	304.7101825685706	304.7101825685706
402.0923076923077	35.299772813775874	1698.8246020457552	22.94485232895432	1104.235991329741	402.0923076923077	38.023044952247666	1698.8246020457552	24.714979218960984	1104.235991329741	304.7101825685706	304.7101825685706
397.62461538461537	35.07461357400398	1698.8246020457552	22.79849882310259	1104.235991329741	397.62461538461537	37.72283263255181	1698.8246020457552	24.519841211158674	1104.235991329741	304.7101825685706	304.7101825685706
393.1569230769231	34.844337078782736	1698.8246020457552	22.64881910120878	1104.235991329741	393.1569230769231	37.41579730559015	1698.8246020457552	24.320268248633596	1104.235991329741	304.7101825685706	304.7101825685706
388.6892307692308	34.60876687102767	1698.8246020457552	22.495698466167987	1104.235991329741	388.6892307692308	37.10170369525005	1698.8246020457552	24.116107401912533	1104.235991329741	304.7101825685706	304.7101825685706
384.22153846153844	34.36771828634806	1698.8246020457552	22.339016886126238	1104.235991329741	384.22153846153844	36.78030558234391	1698.8246020457552	23.907198628523542	1104.235991329741	304.7101825685706	304.7101825685706
379.75384615384615	34.12099797026423	1698.8246020457552	22.17864868067175	1104.235991329741	379.75384615384615	36.45134516089879	1698.8246020457552	23.693374354584215	1104.235991329741	304.7101825685706	304.7101825685706
375.28615384615387	33.8684033609403	1698.8246020457552	22.014462184611194	1104.235991329741	375.28615384615387	36.114552348466894	1698.8246020457552	23.47445902650348	1104.235991329741	304.7101825685706	304.7101825685706
370.8184615384615	33.609722134524226	1698.8246020457552	21.846319387440747	1104.235991329741	370.8184615384615	35.7696440465788	1698.8246020457552	23.25026863027622	1104.235991329741	304.7101825685706	304.7101825685706
366.35076923076923	33.344731609902894	1698.8246020457552	21.67407554643688	1104.235991329741	366.35076923076923	35.41632334708368	1698.8246020457552	23.020610175604396	1104.235991329741	304.7101825685706	304.7101825685706
361.88307692307694	33.07319810936498	1698.8246020457552	21.497578771087237	1104.235991329741	361.88307692307694	35.0542786796998	1698.8246020457552	22.78528114180487	1104.235991329741	304.7101825685706	304.7101825685706
357.4153846153846	32.79487627131361	1698.8246020457552	21.31666957635385	1104.235991329741	357.4153846153846	34.68318289563131	1698.8246020457552	22.544068882160353	1104.235991329741	304.7101825685706	304.7101825685706
352.9476923076923	32.509508310779935	1698.8246020457552	21.131180402006958	1104.235991329741	352.9476923076923	34.30269228158642	1698.8246020457552	22.296749983031173	1104.235991329741	304.7101825685706	304.7101825685706
348.48	35.224246743693065	1698.8246020457552	22.895760383400493	1104.235991329741	348.48	36.919869018590596	1698.8246020457552	23.99791486208389	1104.235991329741	304.7101825685706	304.7101825685706
344.0123076923077	37.858605765142784	1698.8246020457552	24.60809374734281	1104.235991329741	344.0123076923077	39.45413227410775	1698.8246020457552	25.645185978170037	1104.235991329741	304.7101825685706	304.7101825685706
339.5446153846154	40.40783643652738	1698.8246020457552	26.2650936837428	1104.235991329741	339.5446153846154	41.90063308045631	1698.8246020457552	27.235411502296603	1104.235991329741	304.7101825685706	304.7101825685706
335.0769230769231	42.87162266595459	1698.8246020457552	27.866554732870483	1104.235991329741	335.0769230769231	44.258949981779836	1698.8246020457552	28.768317488156892	1104.235991329741	304.7101825685706	304.7101825685706
330.60923076923075	45.21412146223938	1698.8246020457552	29.3891789504556	1104.235991329741	330.60923076923075	46.52863874082412	1698.8246020457552	30.24361518153568	1104.235991329741	304.7101825685706	304.7101825685706
